PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
-1,LC50,-,mortality:acute,0.000032,mg/org,"topical, general",-,ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.8,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.56,mg/L,static,-,nile tilapia,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,470.1,ppm,direct,-,braconid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.6,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.64,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.45,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4.05,mg/L,static,-,cutthroat trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1117.27,ppm,dipped or soaked,-,coffee borer beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.025,mg/L,static,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,34.95,ppm,"topical, general",-,asian lady beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.8,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1679,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,50,mg/L,"environmental, unspecified",-,leafminer parasitoid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,19,ppm,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.2,mg/L,static,-,brook trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.6,mg/L,static,-,snail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,15.7,mg/L,"environmental, unspecified",-,european corn borer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.13,mg/L,static,-,marsh grass shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,378.3,mg/L,renewal,-,asian common toad,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.82,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.3,ppm,"environmental, unspecified",-,ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.8,mg/L,static,-,common carp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.84,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.25,mg/L,static,-,largemouth bass,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,420,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.48,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,573,ppm,"environmental, unspecified",-,five-spot ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,130,mg/L,"environmental, unspecified",-,cabbage aphid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.31,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.67,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.425,mg/L,static,-,"motsuga, stone moroko",ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,48,ppm,direct,-,earthworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,6.8,mg/L,static,-,cutthroat trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,30,mg/L,"environmental, unspecified",-,eulophid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,12.198,mg/L,"environmental, unspecified",-,chalcid wasp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,332,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,16.42,ppm,immersion,-,tarnished plant bug,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.37,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1731.92,mg/L,"environmental, unspecified",-,nematode,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1109,mg/L,renewal,-,asian common toad,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,88.81,mg/L,renewal,-,marbled pygmy frog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.034,mg/L,static,-,opossum shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.13,mg/L,aquatic - not reported,-,fairy shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,5210,ppm,"environmental, unspecified",-,cabbage looper,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.8,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,14.93,mg/L,"environmental, unspecified",-,red scale parasite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.5,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.019,mg/L,static,-,northern pink shrimp,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.4,mg/L,static,-,channel catfish,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.05,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,453,mg/L,dipped or soaked,-,russian wheat aphid,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.8,mg/L,static,-,fathead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.06,mg/L,static,-,asian tiger mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.38,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,39.5,mg/L,"environmental, unspecified",-,european corn borer,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.43,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.05,mg/L,static,-,atlantic salmon,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.93,mg/L,static,-,bluegill,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.25,mg/L,static,-,brook trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.168,mg/L,static,-,stonefly,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.75,mg/L,static,-,brook trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.4,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,200,mg/L,"environmental, unspecified",-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4930,ppm,oral,-,diamondback moth,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.5,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,44,ppm,"environmental, unspecified",-,14-spot ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,84.57,mg/L,renewal,-,marbled pygmy frog,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,0.0317,mg/L,dipped or soaked,-,variegated leafroller,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,20.22,mg/L,"environmental, unspecified",-,ladybird beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.3,mg/L,static,-,rainbow trout,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3680,ppm,oral,-,northern bobwhite quail,ECOTOX,ECOTOX Details
