PRIORITY,TYPE,SUBTYPE,RISK_ASSESSMENT,VALUES,UNITS,STUDY_TYPE,EXPOSURE_ROUTE,SPECIES,SOURCE,DETAILS
6,LC50,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0109,mg/L,static,-,mosquito,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,4450,ppm,oral,-,northern bobwhite quail,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,115.3,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.51,ug/eu,"environmental, unspecified",-,sweetpotato weevil,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0021,mg/L,static,-,southern house mosquito,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,1.54,ug/eu,"environmental, unspecified",-,corn earworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,537,ppm,"environmental, unspecified",-,rust-red flour beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,34.68,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,renewal,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0002,mg/L,static,-,gizzard shad,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,1.89,ug/eu,"environmental, unspecified",-,sugarcane beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.01,mg/L,"environmental, unspecified",-,chalcid wasp,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,0.22,ug/eu,"environmental, unspecified",-,sweetpotato weevil,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,7.88,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,20.5,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.3,ppm,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.38,mg/L,"environmental, unspecified",-,hunting billbug,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0124,mg/L,renewal,-,water flea,ECOTOX,ECOTOX Details
6,LC50,-,mortality:chronic,166,ppm,spray,-,old world bollworm,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,5.4,ug/eu,direct,-,two-spotted spider mite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0006,mg/L,leaching ,-,midge,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,18.61,mg/L,dipped or soaked,-,two-spotted spider mite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,static,-,scud,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.57,ppm,"environmental, unspecified",-,mango bark beetle ,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,8.68,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,14.68,mg/L,"environmental, unspecified",-,tomato leaf miner,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,3.41,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1.291,mg/L,"environmental, unspecified",-,common cutworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,2.6,ppm,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,1280,ppm,oral,-,mallard duck,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,1.17,ug/eu,"environmental, unspecified",-,banks grass mite,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0,mg/L,renewal,-,calanoid copepod,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,0.0198,mg/L,renewal,-,sheepshead minnow,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,54.9,ppm,"environmental, unspecified",-,beet armyworm,ECOTOX,ECOTOX Details
-1,LC50,-,mortality:acute,1.6,ug/eu,"environmental, unspecified",-,sugarcane beetle,ECOTOX,ECOTOX Details
6,LC50,-,mortality:acute,11.2,mg/L,"environmental, unspecified",-,old world bollworm,ECOTOX,ECOTOX Details
